date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,stocare,sold,year,month,day,hour,minute,weekday
8/31/2025 16:55,582,5030,729,483,1348,526,4191,369,46,107,838,2025,8,31,16,55,6
8/31/2025 7:25,612,4714,943,478,1348,242,3816,48,45,96,898,2025,8,31,7,25,6
8/30/2025 21:56,606,6359,1873,512,1344,650,5102,-2,47,71,1257,2025,8,30,21,56,5
8/30/2025 12:25,606,4494,639,477,1345,41,4580,1422,47,0,-85,2025,8,30,12,25,5
8/30/2025 2:25,607,5123,874,1307,1346,110,4289,-3,45,0,833,2025,8,30,2,25,5
8/29/2025 16:56,778,5433,737,1088,1335,531,5776,1226,49,28,-343,2025,8,29,16,56,4
8/29/2025 7:25,760,5888,1427,1338,1350,379,5520,112,48,103,367,2025,8,29,7,25,4
8/28/2025 21:55,811,6869,1971,1279,1337,598,6060,-3,57,8,808,2025,8,28,21,55,3
8/28/2025 12:25,792,4743,508,1100,1290,261,5797,1785,58,0,-1053,2025,8,28,12,25,3
8/28/2025 2:55,803,5052,873,1314,1341,141,4523,-4,54,0,529,2025,8,28,2,55,3
8/27/2025 17:25,749,5647,955,1210,1334,615,5849,927,56,0,-202,2025,8,27,17,25,2
8/27/2025 7:55,774,5866,1498,1318,1344,44,5477,320,54,122,388,2025,8,27,7,55,2
8/26/2025 22:25,757,6355,1784,1375,1330,778,6076,-3,53,0,279,2025,8,26,22,25,1
8/26/2025 12:55,707,4658,448,995,1328,155,5433,1736,54,7,-775,2025,8,26,12,55,1
8/26/2025 3:25,755,4962,724,1350,1344,213,4449,-4,53,0,512,2025,8,26,3,25,1
8/25/2025 17:40,724,5786,810,1040,1333,397,5099,738,53,0,687,2025,8,25,17,40,0
8/25/2025 8:08,613,5742,1378,1355,1338,220,5383,327,52,97,358,2025,8,25,8,8,0
8/24/2025 22:38,511,5479,1424,996,1337,1367,5678,-4,45,0,-198,2025,8,24,22,38,6
8/24/2025 12:59,571,3672,525,473,1335,595,4585,1037,39,1,-913,2025,8,24,12,59,6
8/24/2025 3:30,608,4689,854,544,1333,261,3668,-4,38,31,1020,2025,8,24,3,30,6
8/23/2025 18:00,608,5495,874,530,1325,447,4292,456,39,9,1203,2025,8,23,18,0,5
8/23/2025 8:30,550,5305,804,494,1328,1508,4999,253,39,19,306,2025,8,23,8,30,5
8/22/2025 23:00,702,5991,1146,1226,1323,1131,5570,-3,44,0,421,2025,8,22,23,0,4
8/22/2025 13:29,780,5917,555,1048,1316,1047,5812,1036,23,1,105,2025,8,22,13,29,4
8/22/2025 3:59,723,5000,784,1313,1333,1774,5948,-5,23,0,-947,2025,8,22,3,59,4
8/21/2025 18:30,748,6738,1667,1301,1314,1480,6884,341,31,0,-145,2025,8,21,18,30,3
8/21/2025 9:00,777,5896,1384,1265,1331,117,5701,746,29,49,194,2025,8,21,9,0,3
8/20/2025 23:27,735,5965,1307,1327,1322,1131,5858,-3,29,7,107,2025,8,20,23,27,2
8/20/2025 10:47,703,5120,869,1019,1327,40,5299,1315,23,0,-179,2025,8,20,10,47,2
8/20/2025 1:08,748,5329,822,1312,1326,226,4458,-4,27,0,871,2025,8,20,1,8,2
8/19/2025 15:38,839,5612,509,1077,1324,98,4827,944,19,12,785,2025,8,19,15,38,1
8/19/2025 6:08,747,5317,850,1293,1328,827,5056,-4,12,0,260,2025,8,19,6,8,1
8/18/2025 20:30,779,6921,1887,1287,1316,1066,6402,0,11,55,519,2025,8,18,20,30,0
8/18/2025 10:59,827,5773,784,1086,1278,686,5614,939,11,0,159,2025,8,18,10,59,0
8/18/2025 1:29,743,4855,896,1261,1325,437,4662,-4,7,1,193,2025,8,18,1,29,0
8/17/2025 16:00,833,4688,541,1047,1323,224,4732,753,7,0,-43,2025,8,17,16,0,6
8/17/2025 6:30,834,4664,840,1210,1323,14,4316,0,15,78,348,2025,8,17,6,30,6
8/16/2025 20:56,872,6762,1583,1301,1323,436,5623,-2,25,82,1139,2025,8,16,20,56,5
8/16/2025 11:28,752,4544,699,1176,1329,184,5414,1232,28,11,-869,2025,8,16,11,28,5
8/16/2025 1:46,686,5018,808,1239,1328,294,4387,-4,25,7,630,2025,8,16,1,46,5
8/15/2025 16:17,822,4855,620,1086,1323,783,5735,1065,26,6,-880,2025,8,15,16,17,4
8/15/2025 6:47,748,4905,978,1309,1328,313,4816,16,34,87,89,2025,8,15,6,47,4
8/14/2025 21:17,879,7456,2160,1374,1318,182,6033,-3,34,88,1423,2025,8,14,21,17,3
8/14/2025 11:48,838,5208,862,1023,1271,256,5820,1527,32,7,-611,2025,8,14,11,48,3
8/14/2025 1:25,778,5416,1064,1339,1326,102,4693,-6,27,61,723,2025,8,14,1,25,3
8/13/2025 11:38,838,5165,766,934,1302,213,5545,1458,30,0,-380,2025,8,13,11,38,2
8/13/2025 2:09,657,5212,1252,1311,1331,43,4631,-6,26,15,580,2025,8,13,2,9,2
8/12/2025 16:29,713,5597,859,991,1303,246,5306,1160,30,0,291,2025,8,12,16,29,1
8/12/2025 6:00,712,5316,1156,1333,1329,1273,5858,-5,19,38,-541,2025,8,12,6,0,1
8/11/2025 20:30,755,7527,2122,1375,1268,620,6412,197,21,51,1114,2025,8,11,20,30,0
8/11/2025 10:50,727,5672,1071,955,1248,439,5818,1344,21,9,-146,2025,8,11,10,50,0
8/11/2025 1:08,747,5129,1107,1329,1279,618,5114,-6,21,15,14,2025,8,11,1,8,0
8/10/2025 15:29,723,4657,785,652,1270,333,4583,796,21,0,73,2025,8,10,15,29,6
8/10/2025 5:47,713,4847,1197,856,1270,346,4452,-7,20,54,395,2025,8,10,5,47,6
8/9/2025 20:10,763,6887,2008,910,1276,396,5448,33,31,26,1439,2025,8,9,20,10,5
8/9/2025 10:32,736,4757,943,705,1270,-19,4863,1193,31,3,-106,2025,8,9,10,32,5
8/9/2025 0:59,675,5562,1560,856,1264,19,4404,-5,32,0,1157,2025,8,9,0,59,5
8/8/2025 15:30,690,5299,897,691,1302,339,5041,1082,31,6,257,2025,8,8,15,30,4
8/7/2025 15:59,720,5693,846,725,1242,1145,5713,956,41,35,-20,2025,8,7,15,59,3
8/7/2025 5:30,741,5319,1271,880,1304,1911,6159,-5,43,12,-840,2025,8,7,5,30,3
8/6/2025 19:26,832,7042,2076,542,1281,299,5278,177,40,29,1764,2025,8,6,19,26,2
8/6/2025 9:17,807,5928,1274,471,1278,35,4649,734,42,5,1278,2025,8,6,9,17,2
8/5/2025 23:30,738,6311,1655,1308,1312,177,5249,-6,61,1,1062,2025,8,5,23,30,1
8/5/2025 13:41,733,5636,1030,1088,1304,379,5650,1045,57,12,-13,2025,8,5,13,41,1
8/5/2025 3:48,753,5293,1159,1164,1313,420,4871,-6,56,10,422,2025,8,5,3,48,1
8/4/2025 16:48,779,6273,1122,860,1270,375,5272,790,59,13,1000,2025,8,4,16,48,0
8/4/2025 6:00,710,5034,1340,949,1330,193,4576,-4,52,3,457,2025,8,4,6,0,0
8/3/2025 19:19,728,6147,1958,838,1332,342,5404,147,55,0,742,2025,8,3,19,19,6
8/3/2025 8:30,499,4534,1222,545,1330,309,4487,525,48,4,46,2025,8,3,8,30,6
8/2/2025 21:31,775,6726,1962,806,1323,181,5165,-3,58,60,1560,2025,8,2,21,31,5
8/2/2025 11:32,720,4562,994,538,1281,178,5096,1302,53,26,-533,2025,8,2,11,32,5
8/2/2025 0:57,836,5578,1513,1171,1323,24,4923,-5,59,0,655,2025,8,2,0,57,5
8/1/2025 14:09,894,5174,1236,890,1325,73,5881,1410,49,0,-706,2025,8,1,14,9,4
8/1/2025 4:10,971,5294,1332,1139,1323,190,5008,-6,56,0,286,2025,8,1,4,10,4
7/31/2025 18:00,927,6462,1215,1175,1250,149,5247,444,57,26,1215,2025,7,31,18,0,3
7/31/2025 7:30,889,6094,1388,1138,1326,260,5293,151,58,80,800,2025,7,31,7,30,3
7/30/2025 21:48,1172,7158,1894,1230,1306,298,5990,-4,60,32,1168,2025,7,30,21,48,2
7/30/2025 12:18,1064,5893,913,887,1296,786,5995,982,53,10,-102,2025,7,30,12,18,2
7/30/2025 2:17,1169,5383,846,1161,1317,709,5245,-6,43,4,137,2025,7,30,2,17,2
7/29/2025 14:09,1211,6731,820,1052,1279,150,5273,671,55,24,1458,2025,7,29,14,9,1
7/29/2025 4:39,1211,5472,752,1124,1311,486,4956,-6,52,24,516,2025,7,29,4,39,1
7/28/2025 19:09,1190,7731,1842,1073,1313,157,5861,225,59,0,1869,2025,7,28,19,9,0
7/28/2025 9:38,988,6541,1318,1116,1300,146,5713,760,47,35,827,2025,7,28,9,38,0
7/28/2025 0:09,923,5861,1450,1117,1319,529,5543,-6,45,164,317,2025,7,28,0,9,0
7/27/2025 14:38,987,5335,530,614,1319,1012,5596,1082,48,0,-260,2025,7,27,14,38,6
7/27/2025 5:11,915,5303,711,1087,1324,267,4395,-6,36,59,908,2025,7,27,5,11,6
7/26/2025 19:38,959,7597,1629,1079,1316,1083,6257,92,58,36,1340,2025,7,26,19,38,5
7/26/2025 10:09,992,5842,714,1028,1323,53,5291,1113,56,9,550,2025,7,26,10,9,5
7/26/2025 0:38,875,6369,1469,1112,1311,949,5773,-4,60,0,595,2025,7,26,0,38,5
7/25/2025 15:09,973,6912,747,979,1292,749,6165,1361,55,6,746,2025,7,25,15,9,4
7/25/2025 5:38,926,5745,774,1112,1317,166,4348,-3,54,1,1396,2025,7,25,5,38,4
7/24/2025 20:08,1079,7923,1945,1178,1308,549,6248,76,59,50,1675,2025,7,24,20,8,3
7/24/2025 10:38,973,6265,922,1094,1306,161,5907,1360,52,36,357,2025,7,24,10,38,3
7/24/2025 1:08,893,6023,1397,1170,1329,58,4923,-5,58,20,1099,2025,7,24,1,8,3
7/23/2025 15:38,934,6279,786,870,1314,345,5771,1440,58,20,508,2025,7,23,15,38,2
7/23/2025 6:08,895,5830,1397,1114,1329,418,5235,1,58,20,594,2025,7,23,6,8,2
7/22/2025 20:39,926,7573,2024,1065,1326,400,5904,27,59,74,1668,2025,7,22,20,39,1
7/22/2025 9:48,966,6552,1049,1052,1314,73,5520,984,59,20,1031,2025,7,22,9,48,1
7/22/2025 0:08,881,6347,1415,1153,1326,1088,5943,-5,58,25,403,2025,7,22,0,8,1
7/21/2025 14:17,735,6083,812,1029,1288,121,5623,1552,58,24,460,2025,7,21,14,17,0
7/21/2025 4:09,695,5021,1079,1127,1329,423,4707,-6,55,3,313,2025,7,21,4,9,0
7/20/2025 18:30,718,5419,1114,478,1329,213,4355,446,54,0,1064,2025,7,20,18,30,6
7/20/2025 8:39,711,4441,899,317,1320,-6,3844,553,47,0,596,2025,7,20,8,39,6
7/19/2025 22:30,723,6365,1599,394,1330,544,4650,-5,57,5,1714,2025,7,19,22,30,5
7/19/2025 12:39,740,4720,650,307,1321,151,4476,1244,57,2,244,2025,7,19,12,39,5
7/19/2025 3:00,733,5269,1322,757,1330,122,4307,-5,46,0,962,2025,7,19,3,0,5
7/18/2025 17:08,830,5905,768,583,1320,971,5424,884,48,8,481,2025,7,18,17,8,4
7/18/2025 7:26,888,5976,1277,651,1322,1660,6115,195,48,71,-139,2025,7,18,7,26,4
7/17/2025 21:39,960,7237,1825,768,1312,952,5960,-4,51,96,1276,2025,7,17,21,39,3
7/17/2025 12:08,821,6120,628,586,1267,64,4486,1069,49,0,1633,2025,7,17,12,8,3
7/17/2025 2:38,928,5499,889,782,1320,67,4038,-5,55,0,1460,2025,7,17,2,38,3
7/16/2025 16:22,820,6801,837,950,1288,448,5186,796,51,0,1614,2025,7,16,16,22,2
7/16/2025 6:48,962,6011,871,1092,1325,165,4575,71,54,31,1435,2025,7,16,6,48,2
7/15/2025 21:09,983,7555,2079,1291,1316,186,6004,0,60,86,1551,2025,7,15,21,9,1
7/15/2025 11:38,880,6238,791,1105,1273,372,5766,1288,53,0,472,2025,7,15,11,38,1
7/15/2025 2:08,883,5638,854,1272,1312,49,4417,-4,45,4,1220,2025,7,15,2,8,1
7/14/2025 16:39,842,6524,866,1207,1257,307,5572,1030,46,16,951,2025,7,14,16,39,0
7/14/2025 7:08,757,5912,1619,1289,1335,55,5345,160,46,80,566,2025,7,14,7,8,0
7/13/2025 21:38,721,6540,1777,1214,1332,192,5335,-4,44,57,1205,2025,7,13,21,38,6
7/13/2025 12:08,792,4062,448,672,1328,39,4633,1302,50,0,-570,2025,7,13,12,8,6
7/13/2025 2:38,786,5065,725,839,1334,313,4053,-5,47,11,1011,2025,7,13,2,38,6
